Title ,Year ,Director ,Country,ASL ,RA ,POV ,INS ,BCU ,CU ,MCU ,MS ,MLS ,LS ,VLS
Boudu sauvé des Eaux ,1932,"Renoir, Jean ",FRA ,15,0,0,0,1,57,60,109,138,101,32
Bringing Up Baby ,1938,"Hawks, Howard ",USA ,8,31,6,7,0,29,74,118,128,147,4
Broadway Danny Rose ,1984,"Allen, Woody ",USA ,15,44,6,4,33,118,81,73,73,111,11
Brokedown Palace ,1999,"Kaplan, Jonathan ",USA ,5.8,50,6,6,32,171,106,61,63,64,3
Broken Blossoms ,1919,"Griffith, D.W. ",USA ,8.5,0,0,4,7,53,76,93,50,170,54
Bronenosets Potyomkin ,1925,"Eisenstein, Sergei ",RUS ,3,0,0,0,32,75,67,69,71,160,26
Brookside (JS) ,2000,"Summers, Jeremy ",BRI ,4,66,3,1,134,234,47,43,33,9,0
Brookside (TH) ,2000,"Holloway, Tim ",BRI ,6.8,68,8,2,83,220,129,43,18,7,0
Bullets or Ballots ,1936,"Keighley, William ",USA ,8,32,0,0,15,62,136,107,101,65,13
Cape Forlorn ,1930,"Dupont, E.A. ",BRI ,11.5,24,8,17,28,28,78,117,119,114,70
Casanova ,1927,"Volkoff, Alexandre ",FRA ,6.5,21,14,13,14,81,68,57,65,157,59
"Cat and the Canary, The ",1939,Nugent Elliott ,USA ,11.3,29,11,8,20,43,99,115,127,95,1
Catherine the Great ,1934,"Czinner, Paul ",BRI ,8.5,0,0,0,0,29,111,135,61,105,59
Caught ,1949,"Ophuls, Max ",USA ,17,21,0,0,38,18,71,156,88,111,22
"Champ, The ",1979,Franco Zeffirelli ,USA ,7.2,48,10,5,54,195,70,46,47,80,8
Champagne ,1928,"Hitchcock, Alfred ",BRI ,7,30,22,8,37,65,78,90,116,108,5
"Cheat, The ",1915,"De Mille, Cecil B. ",USA ,12,0,0,3,13,32,97,173,122,34,8
"Chienne, La ",1931,"Renoir, Jean ",FRA ,19,0,0,0,10,95,45,139,71,106,36
Cloak and Dagger ,1946,"Lang, Fritz ",USA ,9.5,0,0,0,12,50,83,150,86,102,17
Coeur fid?le ,1923,"Epstein, Jean ",FRA ,5.7,14,7,26,109,60,49,70,68,123,21
Compulsion ,1959,"Fleischer, Richard ",USA ,9.9,63,4,2,25,227,84,41,77,46,0
Coronation Street (A) ,1994,"Allison, Romey ",BRI ,5.6,67,1,0,81,254,92,43,22,7,1
Coronation Street (P) ,1994,"Penn, David ",BRI ,9.8,49,0,0,25,176,187,82,27,2,0
Crazy in Alabama ,1999,"Banderas, Antonio ",USA ,5.4,45,8,8,37,219,106,46,43,47,3
Crime Unlimited ,1935,"Ince, Ralph ",BRI ,10,22,10,8,28,97,85,99,78,103,9
Cuba ,1979,Richard Lester ,USA ,4.9,25,5,3,56,107,60,58,60,133,13
Dallas - A Family Divided ,1980,"Moore, Irving J. ",USA ,5.8,66,4,4,96,260,50,35,37,10,11
Dallas - Barb-B-Que ,1978,"Day, Robert ",USA ,6.4,57,3,1,56,200,105,69,43,27,1
Dallas - Who Done It? ,1980,"Katzman, Leonard ",USA ,6,70,2,2,54,322,50,28,20,21,4
Dämonit ,1914,,,19.4,0,0,10,11,16,11,16,239,208,0
Darby O'Gill and the Little People ,1959,"Stevenson, Robert ",USA ,4.4,60,10,6,26,174,68,72,70,80,9
Dark City ,1998,"Proyas, Alex ",USA ,2,26,7,14,153,112,44,39,42,97,12
David Harum ,1915,"Dwan, Allan ",USA ,20,0,0,3,12,3,3,9,318,153,3
"Dawn Patrol, The ",1930,"Hawks, Howard ",USA ,7.2,0,0,0,0,25,134,107,45,96,96
"Dawn Patrol, The ",1938,"Goulding, Edmund ",USA ,8,0,0,0,4,101,118,82,45,53,97
De Mayerling ? Sarajevo ,1940,"Ophuls, Max ",FRA ,9,0,0,0,29,39,74,134,65,111,48
Deep Blue Sea ,1999,"Harlin, Renny ",USA ,2.6,24,10,23,140,106,56,46,51,94,9
Destry Rides Again ,1939,"Marshall, George ",USA ,9.1,34,7,1,23,72,79,106,121,94,5
Detroit Rock City ,1999,"Rifkin, Adam ",USA ,2.2,25,5,11,69,164,63,53,66,79,5
"Devil is a Woman, The ",1935,"Sternberg, Josef von ",USA ,13,29,0,0,28,117,83,96,76,73,27
Dial M for Murder ,1954,"Hitchcock, Alfred ",USA ,9.3,44,12,7,15,69,98,141,141,37,0
Dishonored ,1931,"Sternberg, Josef von ",USA ,7.5,0,0,0,17,104,93,116,94,66,10
Docks of New York ,1928,"Sternberg, Josef von ",USA ,6.5,20,0,5,5,63,129,114,94,83,12
Dodge City ,1939,"Curtiz, Michael ",USA ,6,0,0,0,5,47,80,94,115,102,58
Don't Get Me Wrong ,1937,"Woods, A. & Purdell, R. ",BRI ,10.5,25,10,18,10,26,94,68,137,109,56
Downhill ,1927,"Hitchcock, Alfred ",BRI ,7,25,13,12,36,25,89,93,98,154,5
Dr. Mabuse der Spieler (1) ,1922,"Lang, Fritz ",GER ,8,0,0,0,32,59,68,68,124,143,6
Dr. Mabuse der Spieler (2) ,1922,"Lang, Fritz ",GER ,9,0,0,0,9,28,40,48,132,233,11
Dracula ,1979,John Badham ,USA ,5,40,8,15,105,118,90,62,52,62,11
Dreyfus ,1931,"Rosmer, M. & Kraemer, F. ",BRI ,16,16,0,6,9,9,34,70,134,233,11
Driller Killer ,1979,Abel Ferrara ,USA ,6.6,31,15,19,154,122,77,61,48,34,3
Each Dawn I Die ,1939,"Keighley, William ",USA ,7.9,27,8,6,27,165,86,61,70,88,1
"Eagle, The ",1925,"Brown, Clarence ",USA ,6,0,0,0,35,97,98,77,47,81,66
Eastenders (?) ,1994,,BRI ,5.7,40,2,0,27,253,106,70,35,10,0
Eastenders (H) ,1994,"Hays, Bill ",BRI ,6.7,55,1,0,76,268,32,49,63,12,0
Easy Virtue ,1928,"Hitchcock, Alfred ",BRI ,6,17,8,6,25,61,96,65,97,140,14
EDtv ,1999,"Howard, Ron ",USA ,5.5,31,8,12,48,159,105,66,69,51,2
ER - Day One ,1994,"Leder, Mimi ",USA ,6.5,59,4,3,68,246,88,54,33,12,1
ER - Going Home ,1994,"Tinker, Mark ",USA ,6.68,60,6,2,26,222,145,64,36,6,0
ER - Hit and Run ,1994,"Leder, Mimi ",USA ,7.37,48,4,2,44,238,83,62,47,25,0
Erotikon ,1920,"Stiller, Mauritz ",SWE ,7,0,0,0,13,3,26,76,228,137,16
"Exile, The ",1948,"Ophuls, Max ",USA ,11.5,27,0,0,7,15,49,109,140,143,37
"Farmer's Wife, The ",1928,"Hitchcock, Alfred ",BRI ,8,42,26,9,10,42,97,86,115,145,6
Fasching ,1939,"Schweikart, Hans ",GER ,14,24,16,13,13,38,72,103,123,118,32
"Five Pennies, The ",1959,"Shavelson, Melville ",USA ,15.9,34,7,7,23,47,99,106,132,90,4
Flesh and the Devil ,1926,"Brown, Clarence ",USA ,7,0,0,4,14,100,115,81,68,69,53
Fool's Gold ,1920,"Trimble, Larry ",USA ,6.5,10,8,3,10,10,38,76,115,233,18
Foreign Correspondent ,1940,"Hitchcock, Alfred ",USA ,7,33,20,11,22,126,103,79,84,77,9
Forstadsprasten ,1917,"Klercker, George af ",SWE ,15,7,5,3,16,21,40,45,115,256,5
"Four Skulls of Jonathan Drake, The ",1959,"Cahn, Edward L. ",USA ,7.7,23,18,14,96,129,92,99,53,31,0
Fräulein Else ,1929,"Czinner, Paul ",GER ,9,0,0,0,28,48,63,104,97,134,22
French Postcards ,1979,Willard Huyck ,USA ,6.7,50,7,3,22,155,114,72,55,77,5
"Frisco Kid, The ",1979,Robert Aldrich ,USA ,5.1,44,8,7,81,130,80,53,56,87,13
"Front Page, The ",1931,"Milestone, Lewis ",USA ,12.5,26,0,0,25,52,115,107,142,48,11
"Fuoco, Il ",1916,"Pastrone, Giovanni ",ITA ,18,0,0,0,28,31,31,76,190,110,35
Fury ,1936,"Lang, Fritz ",USA ,10,0,0,0,15,65,74,116,120,101,9
Gaslight ,1940,"Dickinson, Thorold ",BRI ,10.5,30,8,9,25,83,120,105,97,70,0
"Geheimnis von Chateau Richmond, der ",1914,,GER ,26.5,0,0,2,11,11,17,11,219,214,17
Gentlemen of the Press ,1929,"Webb, Millard ",USA ,15,17,6,6,29,41,86,76,154,115,0
Gidget ,1959,"Wendkos, Paul ",USA ,11.7,34,8,3,28,118,76,90,83,103,4
"Girl in the Taxi, The ",1922,"Ingraham, Lloyd ",USA ,4.5,9,4,2,12,12,23,63,187,201,2
Glamour Girl ,1948,Dreifuss ,USA ,14,36,10,3,0,51,84,94,147,120,3
"Go Johnny, Go! ",1959,"Landres, Paul ",USA ,8.2,35,25,4,6,95,84,112,116,84,3
"Golden Chance, The ",1915,"DeMille, Cecil B. ",USA ,15,6,3,3,19,47,81,143,165,45,0
"Goose Woman, The ",1925,"Brown, Clarence ",USA ,6,28,0,8,28,82,102,126,60,77,27
Great Expectations ,1946,"Lean, David ",BRI ,9.3,45,11,6,13,80,109,95,96,105,1
"Great Santini, The ",1979,Lewis John Carlino ,USA ,5.4,50,11,6,19,149,82,70,68,91,22
H.O.T.S. ,1979,Gerald Seth Sindell ,USA ,5.3,28,8,12,17,78,99,101,85,110,9
Hangmen Also Die ,1943,"Lang, Fritz ",USA ,10.5,0,0,0,21,39,79,95,129,132,5
Harlem Rides the Range ,1939,"Kahn, Richard C. ",USA ,7.3,15,14,6,16,53,33,83,67,230,18
"Haus am Meer, Das ",1923,"Kaufman, Fritz ",GER ,7.5,7,3,6,2,54,58,55,138,163,30
Havsgamar ,1915,"Sjöström, Victor ",SWE ,14,0,0,0,0,0,0,13,150,320,13
"Heart of Texas Ryan, The ",1917,"Martin, E.A. ",USA ,9.5,8,5,3,6,15,15,34,156,238,36
Heller in Pink Tights ,1959,"Cukor, George ",USA ,7.2,31,9,2,8,66,52,73,106,179,16
Heritage of the Desert ,1939,"Selander, Lesley ",USA ,7.8,30,9,4,3,61,96,100,87,138,16
"Herrscher, Der ",1937,"Harlan, Veit ",GER ,0,0,0,0,5,37,113,104,182,49,10
"High Command, The ",1937,"Dickinson, Thorold ",BRI ,6.5,24,9,15,50,90,101,87,80,90,9
"Hired Man, The ",1918,"Schertzinger, Victor ",USA ,5.5,17,12,8,12,50,87,64,99,183,6
Hometown U.S.A. ,1979,Max Baer Jr. ,USA ,4.9,36,7,5,32,198,102,50,40,75,3
Homicide: Life on the Streets ,1994,,USA ,11.5,34,4,8,63,176,138,63,19,30,13
Homicide: Life on the Streets ,1994,,USA ,11.5,34,4,8,63,176,138,63,19,30,13
Human Desire ,1954,"Lang, Fritz ",USA ,9.5,0,0,0,6,81,71,111,112,97,22
Hungry Hearts ,1922,"Hopper, E. Mason ",USA ,6,19,9,4,13,43,84,67,180,107,5
I Confess ,1952,"Hitchcock, Alfred ",USA ,7.5,49,14,4,32,108,82,81,77,101,20
Ich bei Tag und Du bei Nacht ,1932,"Berger, Ludwig ",GER ,13,0,0,0,16,39,94,145,106,72,24
In Old Caliente ,1939,"Kane, Joseph ",USA ,6.2,15,4,2,2,36,65,77,92,208,20
"Indische Grabmal, Das ",1958,"Lang, Fritz ",GER ,9,0,0,0,9,59,54,63,101,205,10
"Inondation, l' ",1924,"Delluc, Louis ",FRA ,7.1,3,0,20,29,33,17,67,96,220,38
"Insider, The ",1999,"Mann, Michael ",USA ,5.4,33,6,6,167,134,79,48,40,31,1
Interiors ,1978,"Allen, Woody ",USA ,12,43,7,8,60,165,125,67,19,56,8
"Invisible Killer, The ",1939,"Newfield, Sam ",USA ,8.2,21,7,6,15,69,93,119,126,74,4
"Iron Horse, The ",1924,"Ford, John ",USA ,5.5,0,0,3,4,29,59,50,102,122,134
It ,1927,"Badger, Clarence ",USA ,4,0,0,2,17,120,108,75,100,80,3
"Italian, The ",1915,"Barker, Reginald ",USA ,10,0,0,3,12,22,33,82,167,171,13
It's In the Bag ,1936,"Beaudine, William ",BRI ,11.5,15,7,4,4,1,52,71,152,228,1
Ivan Grozny I ,1946,"Eisenstein, Sergei ",RUS ,7.5,4,0,0,41,131,89,50,57,116,14
Ivanhoe ,1913,"Brenon, Herbert ",USA ,11.9,2,0,0,0,7,9,30,150,261,43
Jakob the Liar ,1999,"Kassovitz, Peter ",USA ,5.7,37,10,4,32,154,76,65,81,88,1
Jamaica Inn ,1939,"Hitchcock, Alfred ",BRI ,7,18,10,7,15,85,71,92,88,135,18
Jet Pilot ,1957,"Sternberg, Josef von ",USA ,6.5,0,0,0,14,127,70,86,71,41,91
Jim la Houlette ,1926,"Lion, Roger ",FRA ,6,19,8,10,14,26,69,72,125,177,18
Jubilo ,1919,"Badger, Clarence ",USA ,5.5,0,0,2,4,58,80,85,156,94,8
Jugend ,1938,"Harlan, Veit ",GER ,15,39,0,0,3,79,82,101,116,114,5
Juno and the Paycock ,1930,"Hitchcock, Alfred ",BRI ,25.5,15,13,9,9,30,53,84,164,159,0
Kameradschaft ,1931,"Pabst, G.W. ",GER ,11,0,0,0,9,32,42,82,125,204,6
Karleken Segrar ,1916,"Klercker, George af ",SWE ,18,18,21,8,42,0,3,16,127,301,10
"Kinder des Majors, die ",1914,,GER ,23.5,0,0,0,0,0,0,7,384,109,0
King Frat ,1979,Ken Wiederhorn ,USA ,6.4,23,5,10,20,81,92,72,117,114,3
Koenigsmark ,1923,"Perret, Léonce ",FRA ,6,12,14,17,13,46,33,51,83,217,58
Komedie om Geld ,1935,"Ophuls, Max ",HOL ,12,19,0,0,25,36,69,99,81,127,61
"Kongress tanzt, Der ",1931,"Charell, Erik ",GER ,17,0,0,0,12,17,42,142,133,115,50
"Kopf hoch, Johannes ",1941,"Kowa, Viktor de ",GER ,10,24,11,5,15,50,61,76,104,156,38
Kriemhilds Rache ,1924,"Lang, Fritz ",GER ,0,0,0,0,5,20,28,46,83,299,18
Lachende Erben ,1932,"Ophuls, Max ",GER ,10,0,0,0,8,14,45,114,145,125,49
"Lady Vanishes, The ",1939,"Hitchcock, Alfred ",BRI ,7.5,30,13,10,24,72,117,114,103,59,11
Letter from an Unknown Woman ,1948,"Ophuls, Max ",USA ,16,0,0,0,16,50,71,116,116,108,24
"Liebe der Maria Bonde, die ",1918,,GER ,14.5,0,0,0,0,3,7,54,289,143,3
Liebelei ,1932,"Ophuls, Max ",GER ,17,0,0,0,10,18,53,112,136,126,42
Life ,1999,"Demme, Ted ",USA ,4.5,55,6,2,9,138,129,81,69,72,2
Lifeboat ,1944,"Hitchcock, Alfred ",USA ,7,53,19,11,21,122,114,106,80,38,19
Liliom ,1934,"Lang, Fritz ",FRA ,14.5,0,0,0,13,34,54,134,139,118,8
"Little Princess, The ",1939,"Lang, Walter ",USA ,7.5,30,7,4,11,64,68,125,108,123,1
"Lodger, The ",1927,"Hitchcock, Alfred ",BRI ,5.5,13,9,12,29,94,74,78,106,119,0
Lola Mont?s ,1955,"Ophuls, Max ",FRA ,18,0,0,0,1,20,55,114,108,135,61
Love Affair ,1939,"McCarey, Leo ",USA ,11.3,47,4,8,22,173,56,71,78,82,17
Love Stinks ,1999,"Franklin, Jeff ",USA ,4.6,49,7,6,58,197,116,52,44,32,1
Lucky Devils ,1933,"Ince, Ralph ",USA ,7.2,25,8,8,16,59,48,73,112,145,46
Lukrezia Borgia ,1922,"Oswald, Richard ",GER ,7,0,0,0,8,40,48,55,90,211,47
"Lure of Gold, The ",1922,"Hart, Neal ",USA ,5,18,15,8,13,21,65,62,123,181,35
M ,1931,"Lang, Fritz ",GER ,12.5,0,0,0,30,29,42,101,118,161,17
Madame Bovary ,1949,"Minnelli, Vincente ",USA ,15,0,0,0,18,15,56,130,131,114,31
Madame de ... ,1953,"Ophuls, Max ",FRA ,16,19,0,0,4,22,71,120,161,88,29
Madame Dubarry ,1919,"Lubitsch, Ernst ",GER ,8,0,0,0,2,29,38,60,192,162,16
Madeleine ,,,GER ,39,0,0,0,,0,0,0,205,194,0
Maldone ,1928,"Grémillon, Jean ",FRA ,7.4,17,8,24,62,25,78,51,73,166,44
Man of the Moment ,1935,"Banks, Monty ",BRI ,8.8,24,11,7,8,43,103,78,124,132,12
Man on the Moon ,1999,"Forman, Milos ",USA ,3.9,46,18,4,32,195,112,44,58,56,1
"Man Who Knew Too Much, The ",1955,"Hitchcock, Alfred ",USA ,7,45,15,14,15,59,115,96,81,111,23
"Man Who Knew Too Much, The (1935) ",1935,"Hitchcock, Alfred ",BRI ,7.5,22,16,13,35,48,90,102,103,109,13
Manhattan ,1979,Woody Allen ,USA ,18.1,42,1,22,39,163,66,49,34,120,28
Manpower ,1941,"Walsh, Raoul ",USA ,7,0,0,0,13,48,101,109,106,84,39
Manslaughter ,1922,"De Mille, Cecil B. ",USA ,8.5,0,20,7,25,14,47,135,149,124,7
Mantrap ,1926,"Fleming, Victor ",USA ,4.5,22,0,3,11,72,66,158,91,64,39
"Manxman, The ",1928,"Hitchcock, Alfred ",BRI ,6,31,28,7,21,79,66,77,117,123,16
"Marriage Circle, The ",1924,"Lubitsch, Ernst ",USA ,6.5,28,0,8,21,29,109,125,144,77,1
Mating Habits of Earthbound Humans ,1999,,USA ,5.6,35,6,9,56,160,94,88,66,33,3
Melrose Place ,1999,,USA ,4,70,3,5,105,244,63,38,22,23,4
Men of America ,1932,"Ince, Ralph ",USA ,6.8,29,11,9,14,50,69,79,118,152,82
Men of Two Worlds ,1946,"Dickinson, Thorold ",BRI ,9.4,24,4,9,28,100,81,99,85,97,9
Meteor ,1979,Ronald Neame ,USA ,5.7,29,12,34,34,68,62,79,53,107,97
Metropolis ,1926,"Lang, Fritz ",GER ,5.5,0,0,0,4,49,61,73,71,196,45
Mexicali Rose ,1930,"Kenton, Erle C. ",USA ,7.2,22,8,8,0,45,82,101,110,136,26
Michel Strogoff ,1926,"Tourjansky, Victor ",FRA ,4.6,15,8,10,6,59,64,66,73,187,45
"Million, Le ",1931,"Clair, René ",FRA ,13,0,0,0,6,20,15,86,160,139,47
"Ministry of Fear, The ",1945,"Lang, Fritz ",USA ,10,0,0,0,13,56,69,108,108,134,12
"Minus Man, The ",1999,"Fancher, Hampton ",USA ,5.5,50,10,15,125,177,66,47,46,39,0
"Miracle des loups, le ",1924,"Bernard, Raymond ",FRA ,5.5,15,12,17,6,30,48,77,67,202,70
Morocco ,1930,"Sternberg, Josef von ",USA ,11,0,0,0,15,72,91,101,91,110,21
Moulin Rouge ,1928,"Dupont, E.A. ",BRI ,4.9,27,8,14,52,118,113,58,58,83,18
Mr. Satan ,1937,"Woods, Arthur ",BRI ,8,36,0,16,27,78,94,104,93,76,28
Mr. Smith Goes to Washington ,1939,"Capra, Frank ",USA ,5.9,32,5,9,28,69,124,105,75,87,13
"Müde Tod, Der ",1921,"Lang, Fritz ",GER ,7.5,0,0,0,19,50,45,39,112,216,19
Murder ,1931,"Hitchcock, Alfred ",BRI ,14,21,8,13,33,69,89,74,92,138,5
My Best Girl ,1927,"Taylor, Sam ",USA ,5,33,10,6,17,43,97,122,107,112,1
"Mystery of Mr. Wong, The ",1939,"Nigh, William ",USA ,13.3,27,10,8,19,25,68,95,194,92,8
Nancy Drew… Reporter ,1939,"Clemens, Wiliam ",USA ,6.6,42,10,4,7,107,116,98,87,81,5
Neighbours ,1999,"Osicka, Tony ",AUS ,5.7,59,1,3,193,170,71,41,10,8,7
N?ne ,1924,"Baroncelli, Jacques de ",FRA ,4.1,12,6,5,9,57,68,77,113,166,11
Never So Few ,1959,"Sturges, John ",USA ,8.2,42,7,5,3,95,82,88,109,106,17
"New York Idea, The ",1920,"Blaché, Herbert ",USA ,6,7,5,4,8,32,45,103,113,197,3
"Next of Kin, The ",1942,"Dickinson, Thorold ",BRI ,7,22,4,17,28,92,84,72,85,113,27
Nicholas Nickelby ,1947,"Cavalcanti, Alberto ",BRI ,10.1,18,3,6,19,80,77,92,136,94,1
North by North-West ,1959,"Hitchcock, Alfred ",USA ,6.3,53,24,9,12,89,98,98,79,101,33
Notorious ,1947,"Hitchcock, Alfred ",USA ,8.5,49,23,13,72,119,88,74,74,66,8
Number Seventeen ,1932,"Hitchcock, Alfred ",BRI ,5.5,17,11,19,42,58,51,90,103,126,29
"Nun's Story, The ",1959,"Zinneman, Fred ",USA ,8.6,44,7,7,94,106,71,71,61,93,5
NYPD Blue ,1994,,USA ,4.7,48,1,2,6,335,91,42,17,6,3
Odds Against Tomorrow ,1959,"Wise, Robert ",USA ,7.3,45,7,12,17,111,105,69,73,102,23
Of Human Bondage ,1934,"Cromwell, John ",USA ,6.9,41,13,11,58,124,157,58,70,32,2
"Old Maid, The ",1939,Goulding Edmund ,USA ,11.3,43,4,5,13,140,118,99,83,47,0
Old Wives For New ,1918,"De Mille, Cecil B. ",USA ,8.2,12,12,12,40,39,61,118,142,96,4
On the Beach ,1959,"Kramer, Stanley ",USA ,18.4,27,14,14,38,139,81,70,41,91,41
Only Angels Have Wings ,1939,"Hawks, Howard ",USA ,9,0,0,0,6,34,109,166,86,34,65
Pacific Inferno ,1979,Rolf Bayer ,USA ,5.1,15,3,14,21,79,63,71,90,149,28
"Paradine Case, The ",1947,"Hitchcock, Alfred ",USA ,7.5,50,11,5,23,140,89,116,57,66,7
Partie de Campagne ,1936,"Renoir, Jean ",FRA ,14,0,0,0,5,73,68,107,102,78,68
P?cheur d'Islande ,1924,"Baroncelli, Jacques de ",FRA ,5.5,12,12,15,31,54,49,43,76,198,49
"Perfect Crime, The ",1937,"Ince, Ralph ",BRI ,9.5,22,10,7,29,107,92,77,94,98,3
Pierrot/Pierette ,1924,"Feuillade, Louis ",FRA ,4.7,16,14,7,0,33,75,97,125,150,19
Pillow Talk ,1959,"Gordon, Michael ",USA ,9.5,35,7,9,8,162,109,82,87,44,7
"Plaisir, Le ",1952,"Ophuls, Max ",FRA ,21,0,0,0,0,7,46,87,120,153,87
"Pleasure Garden, The ",1925,"Hitchcock, Alfred ",BRI ,6,14,10,7,13,47,66,98,104,153,18
"Purple Rose of Cairo, The ",1985,"Allen, Woody ",USA ,11.4,54,7,4,42,146,96,69,53,94,2
"Queen of Spades, The ",1948,"Dickinson, Thorold ",BRI ,10.3,34,10,16,64,112,96,88,77,61,2
"Rat, The ",1925,"Cutts, Graham ",BRI ,7,25,0,0,12,37,113,134,103,94,6
Rear Window ,1954,"Hitchcock, Alfred ",USA ,8.3,68,50,6,17,75,113,74,72,121,29
Rebecca ,1940,"Hitchcock, Alfred ",USA ,9,39,13,10,18,100,111,96,83,78,12
"Reckless Moment, The ",1949,"Ophuls, Max ",USA ,15.5,0,0,0,22,37,76,118,86,113,49
"R?gle du jeu, La ",1939,"Renoir, Jean ",FRA ,18,23,0,0,16,72,37,78,121,166,10
Rich and Strange ,1932,"Hitchcock, Alfred ",BRI ,7,25,21,25,24,75,75,75,88,131,33
Ride Lonesome ,1959,"Boetticher, Bud ",USA ,7.8,57,16,3,25,137,103,69,116,43,7
"Ring, The ",1928,"Hitchcock, Alfred ",BRI ,6.5,24,13,12,41,65,90,89,98,112,6
Roma - Citta apperta ,1946,"Rossellini, Roberto ",ITA ,8.9,40,9,1,4,56,87,111,132,102,7
